Log4j2, CVE-2021-45046
eazyminer, two-factor authentication (2FA)
Amazon Drive API, broken authentication
QuTS hero, zero-day vulnerability
Cisco Umbrella Virtual Appliance (VA), CVE-2022-20773
Unified Extensible Firmware Interface, memory corruption vulnerabilities
QuTS, CVE-2022-0194
iCollege, common malware
Docker, unpatched vulnerability
Microsoft, CVE-2022-24528
Linux agent, remote code execution
Google, model theft
Cobalt Strike, CVE-2019-9670
SonicWall SRA 4600 VPN, CVE-2019-7481
Symantec, arbitrary delete vulnerabilities
ZxxZ, CVE-2018-0798
Yubico Yubikey Neo, CVE-2021-3011
Amazon Drive API, high severity vulnerability
SMA 210, eight security vulnerabilities
Cobalt Strike, Proxylogon
Windows, unpatched weakness
Guerilla, backdoor
Cisco, MFA fatigue
Large Language Models, vulnerabilities
RouterOS, FOISted
remote controllers, CVE-2022-0902
RTL8711AF, CVE-2020-9395
DAST, Injection
Hyper-V, CVE-2021-28476
Apple Developer ID, exfiltrate encrypted code signing certificates
Exchange Server, CVE-2022-24477
HID Mercury access controller system, CVE-2022-31479
Zabbix Web Frontend, CVE-2022-23134
@spgy/eslint-plugin-spgy-fe, malware
Apple devices, CVE-2023-23529
Intel CPUs, side-channel attack
FatPipe WARP, zero-day vulnerability
Microsoft, misconfigurations
SAP applications, CVE-2020-6207
IAM tools, shadow APIs
VMG3312-T20A, CVE-2022-0556
Microsoft Teams, CVE-2020-17091
Cisco RoomOS Software, CVE-2022-20783
Graph for Understanding Artifact Composition, SolarWinds
Liferay CMS, CVE-2020-7961
WordPress, man-in-the-middle (MITM) attack
BlueZ protocol stack, CVE-2020-24490
WinZip Enterprise, inadequate data protection
Apache Log4j, Log4Shell
Mitel VoIP, CVE-2022-29499
HID Mercury access panels, CVE-2022-31484
Google Chrome, CNAME cloaking
Wi-Fi SoC, remote code execution
Cisco ASA, CVE-2020-3125
STARTTLS, Man-in-the-middle
FortiOS SSL VPN web portal, CVE-2018-13379
Docs, phishing
AWS, misconfigured Amazon Web Services (AWS) Simple Storage Service (S3) bucket
PowerShell, CVE-2021-36934
Office, macros
MalLocker.B, machine learning model
Go, vulnerabilities
Diamond, zero-day vulnerabilities
OAuth applications, brand abuse
Small Business routers, CVE-2021-1322
Active Directory, CVE-2021-42278
Spring framework, CVE-2022-22950
NPM, two-factor authentication (2FA)
ERS3600 Series, zero-click vulnerabilities
Microsoft Edge, CVE-2021-34506
NTDLL.dll, anti-debugging
Adobe Acrobat Reader, CVE-2021-28545
YouTube, Cookie Theft
Android, OS vulnerabilities
RV260P, CVE-2021-1296
Microsoft Teams, lack of permission enforcement
DSR-1000AC, remotely exploitable root command injection flaw
Chromium-based web browsers, phishing technique
SaaS, session management
KEYPLUG, ProxyLogon
Cynet 360, vulnerabilities
Login/Signup Popup, Cross-site request forgery
third-party solutions, security vulnerabilities
vSphere Client, CVE-2021-21986
Twitter, forward secrecy
Adaptive Security Device Manager (ASDM), CVE-2022-20829
Windows, CVE-2021-26424
RDP, compromised credentials
Mandiant, Bring Your Own Vulnerable Driver (BYOVD)
DeFi protocols, vulnerabilities in the smart contracts
Bvp47, zero-day exploits
Ghost, CVE-2022-41697
VMware Identity Manager, CVE-2022-22954
P2PInfect, CVE-2022-0543
AMI MegaRAC BMCs, CVE-2023-40284
DarkSide, triple extortion
Apple apps, firewall bypass
ISO 27001, security vulnerabilities
Software-as-a-Service (SaaS), credential theft
SolarWinds Serv-U, CVE-2021-35211
Shikitega, CVE-2021-4034
JanelaRAT, DLL side-loading
Kaseya VSA, zero-day vulnerability
Cloud Asset Inventory API, Asset Key Thief
BIG-IP APM, CVE-2021-23008
HP Wolf Security, zero-day bug
Security Copilot, exploits
Opera, CVE-2022-4135
Bluetooth devices, CVE-2023-20869
XSPM, misconfiguration
Exim, CVE-2023-42115
Cato Networks' Cyber Security Masterclass series, ransomware
Spyder, Log4Shell
engineering workstation software, vulnerabilities in an engineering workstation
@fixedwidthtable/fixedwidthtable, malware
SaaS Security on Tap, data leaks
Apple Silicon, unauthorized code
Network Security Services, CVE-2021-43527
Microsoft Teams, zero-click remote code execution (RCE) bug
Easergy P5, two high-severity weaknesses
iOS 12.5.3, CVE-2021-30762
Action1, Common Vulnerabilities and Exposures
Microsoft Edge, CVE-2022-32893
Sotheby's Realty, Magecart attacks
Progress Software, CVE-2023-40044
Mirai, Log4Shell
Cisco Policy Suite, CVE-2021-40119
Siloscape, Deepfake technology
MaliBot, overlay attacks
Windows DNS Server, CVE-2021-24078
Galaxy A10s, GhostTouch
WebKit, CVE-2023-32434
StandardKeyboard, stolen credentials
R1Soft Server Backup Manager, CVE-2022-36537
Intruder, CVE
Windows Print Spooler, CVE-2021-34466
Sky Mavis, spear-phishing attacks
Windows Remote Desktop Protocol, Log4Shell
PrintNightmare, CVE-2021-34527
Find My, unauthorized access
Shikitega, CVE-2021-3493
Global Management System, CVE-2023-34137
Cato Networks' Cyber Security Masterclass series, DDOS
Netatalk, CVE-2022-23123
VMware Cloud Foundation, CVE-2022-22957
2930M Series, remote code execution vulnerabilities
macOS Big Sur 11.6, CVE-2021-31010
KnowBe4, adversary-in-the-middle (AiTM) proxy toolkits
Python, zero-day vulnerability
Safari 14.1.2, CVE-2021-30858
Pentaho, multiple vulnerabilities
Mocha, logic bugs
APIs, ransomware
Linux agent, security vulnerabilities
WhatsApp Business, trojans
JioChat, logic bugs
macro-laced Microsoft Excel documents, stolen credentials
Nagios Fusion, CVE-2020-28905
SSPM, surprise vulnerabilities
Word, zero-day flaw
Microsoft Edge, Log4Shell
Windows, CVE-2023-44487
Google Workspace, data breaches
Netatalk, CVE-2022-23124
Kerberos, compromised credentials
Action1, known vulnerability
webNasIPS, CVE-2022-24990
Microsoft, adversarial samples
Sodinokibi, triple extortion
Microsoft Word, CVE-2022-30190
Samsung devices, CVE-2023-26083
SSO, malware
Exchange Autodiscover service, DNS-poisoning
culturestreak, cryptojacking
TETRA, CVE-2022-24402
Pegasus, FORCEDENTRY exploit
Hytera, national security threat
WhatsApp, CVE-2021-24027
Amazon Workspaces, buffer overflow
GitLab, CVE-2022-1175
GitHub, security vulnerabilities
Adobe Experience Manager, CVE-2023-38214
Windows AD, CVE-2022-37966
Huawei, national security threat
CASBs, misconfigurations
Palo Alto Networks GlobalProtect VPN, CVE-2021-3064
Cymulate, exploitable holes
11th generation Core vPro processors, firmware-level attacks
Dell BIOS, CVE-2022-24421
Microsoft Office, CVE-2022-44698
ZTE, national security threat
Luta Security, vulnerability management
Windows OS, UEFI Secure Boot
Perimeter 81, ransomware
WordPress, vulnerable plugins
DBoxAgent, Log4Shell
TIBCO Software's JasperReports, CVE-2018-5430
subDomainsBrute, zero-day vulnerabilities
iOS, CVE-2021-30883
GitHub, vulnerabilities
Cicada, SSL-VPN
Windows Defender, Process Ghosting
Fortinet FortiOS, CVE-2022-40684
AMI MegaRAC Baseboard Management Controller, CVE-2022-40242
D-Link appliances, four different flaws in D-Link devices
Active Directory, Breached Password Protection
GitHub Copilot, insecure coding patterns
CVSS v3.1, Common Vulnerability Scoring System
Slack, prompt bombing
Yarn, argument injection
Base64-encoded VBScript, anti-disassembling
WebRTC, logic bugs
Pling-based free and open-source software (FOSS) marketplaces, unpatched vulnerability
Datadog, DDoS attacks
SPF, DoS attacks
Ivanti Avalanche, CVE-2023-32560
SaaS, security breaches
IoT device, vulnerable IoT devices
iOS, privacy grab
Hitachi Energy APM Edge, multiple flaws in Hitachi Energy Transformer Asset Performance Management (APM) Edge products
Rust repository, trojanized versions
BlackLotus, CVE-2022-21894
GPU Drivers, CVE-2022-32821
Desktop Central, CVE-2021-44757
Windows Installer, CVE-2021-41379
CODESYS V3, CVE-2022-47379
Trusted Platform Module (TPM) 2.0 reference library specification, CVE-2023-1017
Google Play Store, Facestealer
npm, data exfiltration
Samsung, adversary-in-the-middle (AiTM) proxy toolkits
MTA-STS, phishing
Microsoft Defender, CVE-2021-1647
Gloo Gateway, data breaches
Cisco Expressway Series, CVE-2023-20192
FortiADC, CVE-2022-39947
Zimbra collaboration suite, CVE-2022-30333
Mirth Connect, CVE-2023-43208
FontParser, CVE-2020-27950
Plex Media Server, PMSSDP reflection/amplification attacks
OneDrive, password attacks
Microsoft Exchange, ZDI-CAN-18802
Apple Wireless Direct Link, CVE-2020-3843
Rclone, Internet Information Services (IIS) servers
WinZip Enterprise, weak backup and recovery strategies
Safari, CVE-2021-30951
Browser Security platform, account takeover
Microsoft SQL Server, SQL injection
Microsoft Windows, CVE-2022-21893
Redis, CVE-2020-1938
Microsoft Exchange, ProxyLogon
MobileIron Core, CVE-2023-35078
Gcore, phishing
YouTube, adware
Python, Denial-of-service (DoS)
WhatsApp, CVE-2020-6516
Network Attached Storage (NAS) devices, network vulnerabilities
Google Chrome, CVE-2022-34689
SaaS, credential management
TI, elevation of privilege
Apache Log4j, zero-day vulnerability
Zoom, phishing
PDFWKRNL.sys, CVE-2023-20598
Identity and Access Management, Misconfigurations
PhotoTable, CVE-2021-25397
Real-Time Automation's (RTA) 499ES EtherNet/IP stack, CVE-2020-13556
accounting software suite, security updates
RV260, CVE-2021-1292
Safari, Universal Cross-site Scripting (UXSS)
ASPXSpy, CVE-2018-13379
Copilot, insecure coding patterns
Cydrill, vulnerabilities
Microsoft's Equation Editor, CVE-2018-0802
Azure, inadequate legacy protocols
Google Chrome, CVE-2022-4135
Chromium-based Edge browser, CVE-2022-37969
Echo, circumvented permission model
Qualcomm, CVE-2021-1924
Ivanti Avalanche, CVE-2023-32562
Apache Spark, CVE-2022-35914
SaaS, unsanctioned apps
Sigma Spectrum Infusion systems, loss of critical Wi-Fi password data
C200, remote code execution
DNS Forwarder, CVE-2020-25705
Linux agent, security weaknesses
5G, identity theft
ShadowPad, vulnerabilities in Exchange Servers
QNAP appliances, CVE-2022-27596
Large Language Models, emerging risks
Intel's Trust Domain Extensions, security defects in Intel's Trust Domain Extensions
Mimikatz, vulnerabilities in Exchange Servers
Pentaho Business Analytics versions 9.1 and lower, security weaknesses
QTS 5.0.1, CVE-2022-27596
Small Business RV160, CVE-2022-20707
UEFI, CVE-2022-1890
POX, back-off mechanism
Ivanti Avalanche, CVE-2023-32566
SureMDM, multiple flaws
Visual Studio Code extensions, XSS flaw
Microsoft Internet Information Services, MagicLine4NX
Anatsa, Device-Takeover Fraud (DTO)
J-Web, CVE-2023-36847
macOS, CVE-2021-30713
QuaDream, zero-day
QTS, zero-day vulnerability
WEB GUI, SQL injects
Windows Internet Key Exchange, CVE-2022-21969
web browsers, critical vulnerabilities
Google workspace, malicious third party apps
Google Project Zero, CVE-2023-26083
C++, CVE-2021-42574
Cloudflare, dangling DNS records
MEMS microphones, Light Commands
FirePOWER Services Software, CVE-2021-1585
Windows Win32k, CVE-2017-0005
5G, brute-force attacks
Ultimate Malware Reverse Engineering Bundle, spyware
Fingerprint, credential stuffing
Google Chrome, remote code execution vulnerability
Yandex Browser, address bar spoofing vulnerability
Zero Trust Network Access, viruses
SharePoint Server, CVE-2022-21855
programmable logic controllers (PLCs), INFRA:HALT
macOS Big Sur, CVE-2021-1844
AAA virtual server, CVE-2023-4966
Windows, TELNET
MSHTML Platform, CVE-2021-40444
MetaMask, DLL sideloading
MMRat, remote access trojan (RAT)
Netgear routers, CVE-2021-40847
Protected Folders, Cut-and-Mouse
BadgerDAO, compromised API key
Python Package Index, fake modules
VMware vCenter Server, unpatched security flaws
Bazel, Log4Shell
Exchange Server, four security flaws
Adobe Illustrator, CVE-2021-21102
OSV, SolarWinds
Small Business routers, CVE-2021-1327
Print Spooler, CVE-2022-29132
ScrutisWeb, CVE-2023-35189
Veeam Backup & Replication, ZeroLogon
Redoc, weak authorization
tru.ID API, social engineering
RV016, CVE-2021-1317
Linux, Mirai botnet
Microsoft Security Response Center, Non-Verifying IdP
formjacking, client-side security vulnerabilities
Dataprobe iBoot PDU, CVE-2023-3267
HP Wolf Security, MotW bypass flaw
Nagios XI, CVE-2020-28648
macOS Catalina, CVE-2020-9986
China Chopper, zero-day vulnerability
GitHub, secrets sprawl
password cracking software, CVE-2022-2003
infusion pumps, remote denial-of-service (DoS)
EAS devices, critical security vulnerabilities
ProxyLogon, ProxyLogon
Fortinet SSL VPN, CVE-2018-13379
AppTrana, smart attacks
Kernel, CVE-2022-42827
Homestyler, data leak
Google Chrome, Universal Cross-site Scripting (UXSS)
NPM, dependency confusion attack
OpenOffice, persistent XSS
Safari, CVE-2019-8506
DKIM, phishing
Zero Trust Network Access, ransomware
CryptoRom, review evasion technique
PLC, unpatchable hardware root-of-trust vulnerabilities
HTTP UNSUBSCRIBE, CVE-2021-34991
SOAR, zero-day attacks
StandardKeyboard, one-day exploits
Cisco, business email compromise
Qualcomm Graphics, CVE-2021-1906
Conti, CVE-2021-34527
Black Kingdom, ProxyLogon
FortiOS, CVE-2020-12812
RV325, CVE-2021-1316
Safari, CVE-2023-23529
Tor Browser, spyware
WeChat, privacy nightmare
Cisco, CVE-2022-20703
MediaTek chipsets, CVE-2020-14125
firewall, CVE-2023-33010
Pentera, common vulnerabilities and exposures
RPC Runtime Library, CVE-2022-26809
Intel processors, Gather Data Sampling
video.apk, StrongPity backdoor
NetScan, stolen credentials
Expo.io, CVE-2023-28131
SharePoint Online, Slowloris
PaperCut, CVE-2023-27351
Redoc, weak authentication
Identity Threat Detection and Response, Misconfigurations
iPadOS, CVE-2022-26706
Owl Labs Meeting Owl, CVE-2022-31463
Zyxel, CVE-2023-28771
ProxyLogon Microsoft Exchange Server vulnerabilities, Fscan
Gartner, spear phishing
SPF, email spoofing
macOS Big Sur, CVE-2021-3156
Windows Network File System, CVE-2022-26937
ThunderCrypt, EternalBlue
LogJam, CVE-2021-44228
Telepad, CVE-2022-45482
Rockwell Automation PLCs, CVE-2021-22681
Open Charge Point Protocol, chargers identities policy
REvil, double extortion
Play Protect, malware
Control Component Library, denial-of-service
Google Chrome, CVE-2023-4762
Web Server component, CVE-2023-40287
Microsoft 365, encryption
Trend Micro Premium Security Suite, malware
Control Component Library, remote code execution
Active Directory Certificate Services, PetitPotam
VMware VCenter, Log4Shell
Windows, CVE-2020-16898
InterNiche stack, INFRA:HALT
Endpoint Detection & Response, ransomware
libc, heap overflow
Microsoft, trojan attacks
SonicWall, CVE-2021-20021
ESET NOD32 Antivirus, phishing attempts
pip, malicious code execution
Qualcomm's mobile station modems, CVE-2020-11292
Microsoft Exchange Server, CVE-2022-41082
CODESYS V3, CVE-2022-47385
Small Business RV130, CVE-2021-1459
smspva[.]net, SMS-intercepting malware
Apache Log4j 2, CVE-2021-44228
Windows, CVE-2021-24084
Windows Fast FAT File System Driver, CVE-2021-41377
OpenSLP, CVE-2020-3992
SaaS Security, ransomware attacks
CLFS, CVE-2022-37969
Hopper, token impersonation
networking devices, heap-based buffer overflows
APIs, cybersecurity issues
SEL-5030 acSELeratorQuickSet, CVE-2023-31171
Pimcore Customer Data Framework v3.0.0, security flaws
web application firewall, vulnerabilities
OPSWAT MetaDefender, file upload vulnerabilities
Zimperium, HiddenAds malware
Visual Studio, CVE-2023-38180
Hermit, CVE-2021-30883
Citrix Application Delivery Controller, CVE-2022-27510
Microsoft Active Directory Domain Controllers, CVE-2021-34458
Crucible, CVE-2022-23531
Twitter, end-to-end encryption
Secure Mobile Access, CVE-2021-20034
WAF, shadow APIs
Fortinet's web application firewall, CVE-2021-22123
Microsoft Internet Information Services, Log4Shell
SaaS, browser data loss
Indusface Apptrana, spear-phishing
Indusface Apptrana, cross-site scripting
VMware vCenter Server, compromised credentials
Evilginx2, adversary-in-the-middle (AiTM) attacks
Cisco IOS XE devices, CVE-2023-20198
Apache OpenMeetings, zombie room
TV7108HE, CVE-2016-20016
PsExec, lateral movement
WebKit, CVE-2021-30954
Cobalt Strike, brute force attacks
NPM registry, dependency confusion attack
pearweb, directory traversal bug
Identity Threat Detection and Response, Vulnerabilities
Chrome, CVE-2020-16009
User Datagram Protocol, DDoS amplify attack
Foxit Reader, CVE-2020-35931
Rarible, vulnerability
VMs, unreleased exploits
NPM repository, supply-chain attack
RBAC, unauthorized access
QTS, CVE-2022-23122
WebP, CVE-2023-4863
API, OWASP Top 10 Vulnerabilities
Intruder, broken authentication
Azure Data Factory, CVE-2022-29972
Kubelet, CVE-2023-3955
Content Disarm and Reconstruction (CDR), vulnerabilities
Exchange Server, CVE-2021-28483
Zoom, CVE-2022-22782
keypair, CVE-2021-41117
SolarWinds Orion, trojanized versions
BLE, person-in-the-middle attacks
ChatGPT plugins, brute-forcing OpenAI APIs
web applications, access control vulnerabilities
Homebrew Cask, security vulnerability
LenelS2, CVE-2022-31484
iOS, zero-day vulnerability
Active Directory, phishing email attacks
Koo, persistent XSS
Nagios, CVE-2020-28648
Small Business routers, CVE-2021-1344
